Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,0.0,100.0,87.66,27.05,0.0,0.0
2000-01-11,0.0,100.0,89.0,27.87,0.0,0.0
2000-01-18,0.0,100.0,89.0,27.87,0.0,0.0
2000-01-25,0.0,100.0,93.74,27.87,0.0,0.0
2000-02-01,0.0,100.0,95.32,29.66,0.0,0.0
2000-02-08,0.0,100.0,95.32,29.66,0.0,0.0
2000-02-15,0.0,100.0,95.32,29.66,0.0,0.0
2000-02-22,0.0,100.0,95.32,29.66,0.0,0.0
2000-02-29,0.0,100.0,99.38,66.47,0.0,0.0
2000-03-07,0.0,100.0,99.92,66.47,0.0,0.0
2000-03-14,0.0,100.0,99.67,68.35,0.0,0.0
2000-03-21,0.0,100.0,99.67,68.35,0.0,0.0
2000-03-28,0.0,100.0,99.67,68.35,0.0,0.0
2000-04-04,0.0,100.0,100.0,94.11,0.0,0.0
2000-04-11,0.0,100.0,100.0,84.23,0.0,0.0
2000-04-18,0.0,100.0,100.0,83.57,0.0,0.0
2000-04-25,0.0,100.0,91.42,58.62,0.0,0.0
2000-05-02,0.0,100.0,90.3,59.66,0.0,0.0
2000-05-09,0.0,100.0,90.3,59.35,0.0,0.0
2000-05-16,0.0,100.0,99.92,78.33,0.0,0.0
2000-05-23,5.99,94.01,76.59,43.33,0.32,0.0
2000-05-30,24.86,75.14,63.56,40.84,0.0,0.0
2000-06-06,37.24,62.76,51.73,37.23,5.69,0.0
2000-06-13,37.03,62.97,52.6,38.97,6.5,0.0
2000-06-20,39.67,60.33,49.17,37.3,7.86,0.0
2000-06-27,30.64,69.36,50.75,23.19,0.0,0.0
2000-07-04,44.07,55.93,35.27,13.34,0.0,0.0
2000-07-11,51.72,48.28,36.01,0.0,0.0,0.0
2000-07-18,59.42,40.58,29.44,0.0,0.0,0.0
2000-07-25,58.34,41.66,27.5,0.0,0.0,0.0
2000-08-01,69.29,30.71,18.17,0.0,0.0,0.0
2000-08-08,70.79,29.21,15.3,0.0,0.0,0.0
2000-08-15,68.92,31.08,13.48,0.0,0.0,0.0
2000-08-22,74.32,25.68,12.21,0.0,0.0,0.0
2000-08-29,74.65,25.35,11.78,0.0,0.0,0.0
2000-09-05,41.13,58.87,13.02,0.0,0.0,0.0
2000-09-12,36.98,63.02,14.95,0.0,0.0,0.0
2000-09-19,27.33,72.67,46.3,15.12,0.0,0.0
2000-09-26,35.85,64.15,31.43,12.01,0.0,0.0
2000-10-03,35.81,64.19,31.44,12.01,0.0,0.0
2000-10-10,35.93,64.07,31.44,12.01,0.0,0.0
2000-10-17,24.61,75.39,53.71,28.26,4.25,0.0
2000-10-24,13.19,86.81,58.63,31.63,11.82,0.0
2000-10-31,0.0,100.0,50.6,19.95,7.92,0.0
2000-11-07,12.98,87.02,41.23,12.97,0.0,0.0
2000-11-14,39.37,60.63,33.69,7.79,0.0,0.0
2000-11-21,42.94,57.06,31.52,7.25,0.0,0.0
2000-11-28,32.28,67.72,31.52,7.25,0.0,0.0
2000-12-05,32.24,67.76,36.35,8.83,0.0,0.0
2000-12-12,33.76,66.24,36.35,8.9,0.0,0.0
2000-12-19,34.74,65.26,33.5,8.42,0.0,0.0
2000-12-26,40.64,59.36,29.63,8.3,0.0,0.0
2001-01-02,40.64,59.36,31.28,8.3,0.0,0.0
2001-01-09,41.33,58.67,31.23,8.3,0.0,0.0
2001-01-16,41.33,58.67,31.23,4.01,0.0,0.0
2001-01-23,39.0,61.0,32.06,5.17,0.0,0.0
2001-01-30,65.34,34.66,13.31,0.0,0.0,0.0
2001-02-06,65.7,34.3,13.31,0.0,0.0,0.0
2001-02-13,82.53,17.47,7.33,0.0,0.0,0.0
2001-02-20,82.53,17.47,7.33,0.0,0.0,0.0
2001-02-27,89.03,10.97,5.14,0.0,0.0,0.0
2001-03-06,87.31,12.69,5.14,0.0,0.0,0.0
2001-03-13,87.31,12.69,0.0,0.0,0.0,0.0
2001-03-20,87.31,12.69,0.0,0.0,0.0,0.0
2001-03-27,87.31,12.69,0.0,0.0,0.0,0.0
2001-04-03,87.31,12.69,0.0,0.0,0.0,0.0
2001-04-10,90.47,9.53,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-15,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-22,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-29,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-17,17.82,82.18,0.0,0.0,0.0,0.0
2001-07-24,54.61,45.39,0.0,0.0,0.0,0.0
2001-07-31,48.61,51.39,0.0,0.0,0.0,0.0
2001-08-07,61.33,38.67,0.0,0.0,0.0,0.0
2001-08-14,45.23,54.77,8.69,0.0,0.0,0.0
2001-08-21,79.24,20.76,0.0,0.0,0.0,0.0
2001-08-28,86.11,13.89,0.0,0.0,0.0,0.0
2001-09-04,18.87,81.13,5.0,0.0,0.0,0.0
2001-09-11,80.45,19.55,0.04,0.0,0.0,0.0
2001-09-18,79.9,20.1,0.0,0.0,0.0,0.0
2001-09-25,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-30,88.75,11.25,0.0,0.0,0.0,0.0
2001-11-06,79.4,20.6,0.0,0.0,0.0,0.0
2001-11-13,56.86,43.14,0.0,0.0,0.0,0.0
2001-11-20,56.86,43.14,0.0,0.0,0.0,0.0
2001-11-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,90.98,9.02,0.0,0.0,0.0,0.0
2002-01-08,67.43,32.57,0.0,0.0,0.0,0.0
2002-01-15,61.58,38.42,0.0,0.0,0.0,0.0
2002-01-22,61.42,38.58,0.0,0.0,0.0,0.0
2002-01-29,41.27,58.73,0.0,0.0,0.0,0.0
2002-02-05,60.3,39.7,0.0,0.0,0.0,0.0
2002-02-12,69.66,30.34,0.0,0.0,0.0,0.0
2002-02-19,70.03,29.97,0.0,0.0,0.0,0.0
2002-02-26,57.93,42.07,0.0,0.0,0.0,0.0
2002-03-05,59.62,40.38,0.0,0.0,0.0,0.0
2002-03-12,55.95,44.05,0.0,0.0,0.0,0.0
2002-03-19,49.43,50.57,0.0,0.0,0.0,0.0
2002-03-26,46.37,53.63,0.0,0.0,0.0,0.0
2002-04-02,27.31,72.69,0.0,0.0,0.0,0.0
2002-04-09,27.15,72.85,40.41,0.0,0.0,0.0
2002-04-16,39.3,60.7,32.83,0.0,0.0,0.0
2002-04-23,41.19,58.81,31.37,0.0,0.0,0.0
2002-04-30,51.29,48.71,9.92,0.0,0.0,0.0
2002-05-07,61.94,38.06,5.49,0.0,0.0,0.0
2002-05-14,90.0,10.0,0.0,0.0,0.0,0.0
2002-05-21,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-28,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-04,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-11,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-18,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-25,93.74,6.26,0.0,0.0,0.0,0.0
2002-07-02,33.41,66.59,0.48,0.0,0.0,0.0
2002-07-09,39.56,60.44,18.49,0.0,0.0,0.0
2002-07-16,37.56,62.44,10.65,0.0,0.0,0.0
2002-07-23,35.52,64.48,32.79,6.31,0.0,0.0
2002-07-30,42.28,57.72,17.87,3.99,0.0,0.0
2002-08-06,68.26,31.74,21.38,8.69,0.0,0.0
2002-08-13,77.73,22.27,9.51,3.35,0.0,0.0
2002-08-20,86.47,13.53,3.76,0.0,0.0,0.0
2002-08-27,95.54,4.46,0.0,0.0,0.0,0.0
2002-09-03,94.78,5.22,0.0,0.0,0.0,0.0
2002-09-10,93.92,6.08,1.52,0.0,0.0,0.0
2002-09-17,92.7,7.3,0.85,0.0,0.0,0.0
2002-09-24,94.63,5.37,0.34,0.0,0.0,0.0
2002-10-01,80.89,19.11,3.94,0.0,0.0,0.0
2002-10-08,93.83,6.17,0.0,0.0,0.0,0.0
2002-10-15,93.71,6.29,0.0,0.0,0.0,0.0
2002-10-22,94.55,5.45,0.0,0.0,0.0,0.0
2002-10-29,92.22,7.78,0.03,0.0,0.0,0.0
2002-11-05,96.46,3.54,0.0,0.0,0.0,0.0
2002-11-12,96.39,3.61,0.0,0.0,0.0,0.0
2002-11-19,68.25,31.75,0.0,0.0,0.0,0.0
2002-11-26,69.03,30.97,0.04,0.0,0.0,0.0
2002-12-03,64.74,35.26,5.42,0.0,0.0,0.0
2002-12-10,60.32,39.68,6.24,0.0,0.0,0.0
2002-12-17,58.3,41.7,11.56,0.0,0.0,0.0
2002-12-24,58.52,41.48,13.46,0.0,0.0,0.0
2002-12-31,39.64,60.36,33.16,0.8,0.0,0.0
2003-01-07,5.35,94.65,44.28,12.08,0.29,0.0
2003-01-14,1.84,98.16,76.5,12.32,2.57,0.0
2003-01-21,0.0,100.0,76.12,20.55,2.27,0.0
2003-01-28,0.0,100.0,79.05,19.97,3.12,0.0
2003-02-04,0.0,100.0,77.87,20.51,3.29,0.0
2003-02-11,0.0,100.0,77.65,19.37,2.72,0.0
2003-02-18,0.0,100.0,68.04,19.41,3.28,0.0
2003-02-25,0.0,100.0,67.86,22.96,2.89,0.0
2003-03-04,0.0,100.0,68.89,25.64,2.3,0.0
2003-03-11,0.0,100.0,70.3,26.65,2.15,0.0
2003-03-18,0.0,100.0,99.22,26.57,2.37,0.0
2003-03-25,0.0,100.0,99.3,25.92,2.5,0.0
2003-04-01,1.52,98.48,74.83,18.69,4.04,0.0
2003-04-08,1.44,98.56,63.18,23.58,3.75,0.0
2003-04-15,1.03,98.97,73.55,25.07,3.97,0.0
2003-04-22,3.7,96.3,70.58,26.57,0.0,0.0
2003-04-29,3.23,96.77,74.73,43.07,0.01,0.0
2003-05-06,46.74,53.26,29.37,0.61,0.0,0.0
2003-05-13,79.35,20.65,0.73,0.0,0.0,0.0
2003-05-20,77.48,22.52,4.47,0.0,0.0,0.0
2003-05-27,76.82,23.18,4.91,0.0,0.0,0.0
2003-06-03,67.29,32.71,4.58,0.0,0.0,0.0
2003-06-10,79.65,20.35,0.61,0.0,0.0,0.0
2003-06-17,54.57,45.43,2.43,0.0,0.0,0.0
2003-06-24,27.92,72.08,31.82,0.0,0.0,0.0
2003-07-01,84.63,15.37,0.0,0.0,0.0,0.0
2003-07-08,96.08,3.92,0.0,0.0,0.0,0.0
2003-07-15,94.31,5.69,0.0,0.0,0.0,0.0
2003-07-22,89.04,10.96,3.73,0.0,0.0,0.0
2003-07-29,89.95,10.05,6.06,0.0,0.0,0.0
2003-08-05,61.47,38.53,9.35,0.0,0.0,0.0
2003-08-12,14.79,85.21,12.83,3.96,0.0,0.0
2003-08-19,0.0,100.0,28.79,7.33,2.46,0.0
2003-08-26,0.0,100.0,97.72,21.37,7.67,0.0
2003-09-02,0.0,100.0,98.45,42.59,8.24,0.0
2003-09-09,0.0,100.0,99.86,83.3,18.91,0.0
2003-09-16,4.5,95.5,91.37,70.27,11.18,0.0
2003-09-23,4.55,95.45,90.62,69.92,10.62,0.0
2003-09-30,4.26,95.74,90.81,69.77,11.44,0.0
2003-10-07,4.05,95.95,90.5,70.35,11.66,0.0
2003-10-14,4.68,95.32,90.26,65.75,9.22,0.0
2003-10-21,4.52,95.48,90.01,72.01,15.94,0.0
2003-10-28,4.59,95.41,89.65,71.95,23.64,0.0
2003-11-04,4.92,95.08,82.22,37.99,11.82,0.0
