Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,44.01,55.99,7.84,0.0,0.0,0.0
2000-01-11,61.6,38.4,9.14,0.0,0.0,0.0
2000-01-18,0.0,100.0,31.91,0.0,0.0,0.0
2000-01-25,0.0,100.0,31.99,0.0,0.0,0.0
2000-02-01,0.36,99.64,47.94,1.72,0.0,0.0
2000-02-08,0.36,99.64,47.94,1.72,0.0,0.0
2000-02-15,0.36,99.64,47.94,1.72,0.0,0.0
2000-02-22,0.36,99.64,47.94,1.72,0.0,0.0
2000-02-29,35.35,64.65,36.28,0.06,0.0,0.0
2000-03-07,43.25,56.75,6.46,0.06,0.0,0.0
2000-03-14,67.35,32.65,5.0,0.06,0.0,0.0
2000-03-21,70.77,29.23,5.0,0.06,0.0,0.0
2000-03-28,83.44,16.56,1.3,0.0,0.0,0.0
2000-04-04,87.46,12.54,4.21,0.12,0.0,0.0
2000-04-11,87.46,12.54,4.21,0.0,0.0,0.0
2000-04-18,91.91,8.09,3.15,0.13,0.0,0.0
2000-04-25,90.67,9.33,3.15,0.03,0.0,0.0
2000-05-02,78.6,21.4,4.88,0.14,0.0,0.0
2000-05-09,88.26,11.74,4.36,0.08,0.0,0.0
2000-05-16,88.26,11.74,4.36,0.48,0.0,0.0
2000-05-23,67.49,32.51,15.99,5.62,2.47,0.0
2000-05-30,72.27,27.73,15.56,3.11,1.17,0.0
2000-06-06,53.61,46.39,19.7,6.28,2.28,0.0
2000-06-13,43.98,56.02,28.02,12.13,2.53,0.0
2000-06-20,40.93,59.07,33.47,18.32,0.9,0.0
2000-06-27,44.13,55.87,31.28,17.07,0.0,0.0
2000-07-04,49.39,50.61,27.6,9.23,1.94,0.0
2000-07-11,49.01,50.99,25.23,5.76,1.94,0.0
2000-07-18,51.94,48.06,18.8,5.76,0.19,0.0
2000-07-25,71.16,28.84,10.3,2.37,0.0,0.0
2000-08-01,74.91,25.09,10.3,2.37,0.0,0.0
2000-08-08,74.27,25.73,8.58,2.37,0.0,0.0
2000-08-15,71.19,28.81,9.45,1.99,0.0,0.0
2000-08-22,75.16,24.84,8.28,1.99,0.0,0.0
2000-08-29,56.21,43.79,11.96,1.99,0.0,0.0
2000-09-05,6.28,93.72,35.62,4.45,0.0,0.0
2000-09-12,6.28,93.72,77.19,23.68,3.71,0.0
2000-09-19,0.0,100.0,77.58,39.46,3.55,0.0
2000-09-26,0.0,100.0,72.1,33.58,0.0,0.0
2000-10-03,0.0,100.0,95.53,56.85,2.33,0.0
2000-10-10,1.87,98.13,95.53,56.81,2.33,0.0
2000-10-17,1.64,98.36,93.09,41.34,2.18,0.0
2000-10-24,0.19,99.81,65.04,21.48,2.84,0.0
2000-10-31,24.06,75.94,40.36,8.95,0.0,0.0
2000-11-07,60.9,39.1,13.8,5.47,0.0,0.0
2000-11-14,70.85,29.15,12.79,4.93,0.0,0.0
2000-11-21,72.78,27.22,12.89,4.03,0.0,0.0
2000-11-28,71.65,28.35,12.89,4.03,0.0,0.0
2000-12-05,71.99,28.01,13.53,3.22,0.0,0.0
2000-12-12,69.87,30.13,13.53,4.35,0.0,0.0
2000-12-19,69.87,30.13,13.89,5.23,0.0,0.0
2000-12-26,69.87,30.13,12.87,5.65,0.0,0.0
2001-01-02,69.87,30.13,12.87,5.65,0.0,0.0
2001-01-09,70.7,29.3,12.87,5.65,0.0,0.0
2001-01-16,70.7,29.3,12.87,4.31,0.0,0.0
2001-01-23,46.11,53.89,18.99,9.13,0.0,0.0
2001-01-30,63.37,36.63,16.95,5.87,0.0,0.0
2001-02-06,63.46,36.54,16.95,5.87,0.0,0.0
2001-02-13,87.47,12.53,4.85,0.0,0.0,0.0
2001-02-20,87.47,12.53,4.85,0.0,0.0,0.0
2001-02-27,92.96,7.04,0.0,0.0,0.0,0.0
2001-03-06,96.63,3.37,0.0,0.0,0.0,0.0
2001-03-13,94.42,5.58,0.0,0.0,0.0,0.0
2001-03-20,94.79,5.21,0.0,0.0,0.0,0.0
2001-03-27,94.79,5.21,0.0,0.0,0.0,0.0
2001-04-03,97.65,2.35,0.0,0.0,0.0,0.0
2001-04-10,97.65,2.35,0.0,0.0,0.0,0.0
2001-04-17,99.57,0.43,0.0,0.0,0.0,0.0
2001-04-24,99.38,0.62,0.0,0.0,0.0,0.0
2001-05-01,98.9,1.1,0.0,0.0,0.0,0.0
2001-05-08,99.43,0.57,0.0,0.0,0.0,0.0
2001-05-15,99.63,0.37,0.0,0.0,0.0,0.0
2001-05-22,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-29,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,94.78,5.22,0.0,0.0,0.0,0.0
2001-06-26,93.44,6.56,0.0,0.0,0.0,0.0
2001-07-03,90.6,9.4,0.26,0.0,0.0,0.0
2001-07-10,44.73,55.27,1.22,0.0,0.0,0.0
2001-07-17,49.09,50.91,0.37,0.0,0.0,0.0
2001-07-24,21.94,78.06,2.29,0.0,0.0,0.0
2001-07-31,72.24,27.76,4.38,0.0,0.0,0.0
2001-08-07,62.99,37.01,4.38,0.0,0.0,0.0
2001-08-14,76.04,23.96,2.88,0.0,0.0,0.0
2001-08-21,79.59,20.41,6.77,0.0,0.0,0.0
2001-08-28,83.49,16.51,2.91,0.11,0.0,0.0
2001-09-04,76.35,23.65,2.68,0.0,0.0,0.0
2001-09-11,80.05,19.95,0.62,0.0,0.0,0.0
2001-09-18,79.83,20.17,0.87,0.0,0.0,0.0
2001-09-25,96.48,3.52,0.43,0.0,0.0,0.0
2001-10-02,96.48,3.52,0.43,0.0,0.0,0.0
2001-10-09,96.48,3.52,0.43,0.0,0.0,0.0
2001-10-16,96.43,3.57,0.43,0.0,0.0,0.0
2001-10-23,89.91,10.09,0.43,0.0,0.0,0.0
2001-10-30,80.85,19.15,5.61,0.0,0.0,0.0
2001-11-06,67.95,32.05,4.66,0.0,0.0,0.0
2001-11-13,54.79,45.21,13.59,0.0,0.0,0.0
2001-11-20,57.14,42.86,13.59,0.0,0.0,0.0
2001-11-27,57.14,42.86,13.16,0.0,0.0,0.0
2001-12-04,33.1,66.9,20.31,0.0,0.0,0.0
2001-12-11,31.04,68.96,34.33,0.0,0.0,0.0
2001-12-18,31.7,68.3,33.22,0.33,0.0,0.0
2001-12-25,30.91,69.09,39.62,0.47,0.0,0.0
2002-01-01,22.48,77.52,45.05,0.7,0.0,0.0
2002-01-08,22.02,77.98,45.53,0.64,0.0,0.0
2002-01-15,20.88,79.12,45.21,0.67,0.0,0.0
2002-01-22,21.2,78.8,45.13,0.68,0.0,0.0
2002-01-29,21.62,78.38,47.86,1.9,0.0,0.0
2002-02-05,51.27,48.73,10.23,0.0,0.0,0.0
2002-02-12,56.88,43.12,11.33,0.0,0.0,0.0
2002-02-19,57.47,42.53,12.08,0.0,0.0,0.0
2002-02-26,46.19,53.81,12.16,0.0,0.0,0.0
2002-03-05,46.62,53.38,22.53,12.58,0.0,0.0
2002-03-12,35.49,64.51,22.94,12.45,0.0,0.0
2002-03-19,34.99,65.01,21.74,12.04,0.0,0.0
2002-03-26,32.89,67.11,32.41,22.4,0.0,0.0
2002-04-02,5.87,94.13,58.51,24.49,0.0,0.0
2002-04-09,7.28,92.72,56.53,21.86,0.0,0.0
2002-04-16,1.9,98.1,56.89,19.83,0.0,0.0
2002-04-23,24.26,75.74,50.49,29.04,0.0,0.0
2002-04-30,34.43,65.57,49.24,29.59,0.0,0.0
2002-05-07,30.02,69.98,56.74,40.65,0.0,0.0
2002-05-14,35.82,64.18,54.81,35.58,11.2,0.0
2002-05-21,36.99,63.01,53.44,34.24,16.55,0.0
2002-05-28,43.9,56.1,48.04,33.44,14.96,0.0
2002-06-04,43.49,56.51,48.31,33.55,15.14,0.0
2002-06-11,43.9,56.1,47.89,32.88,14.37,0.0
2002-06-18,53.46,46.54,40.89,28.65,13.44,0.0
2002-06-25,48.49,51.51,39.02,30.14,13.79,0.0
2002-07-02,37.08,62.92,44.7,32.31,15.02,0.0
2002-07-09,38.65,61.35,43.95,31.9,13.96,0.0
2002-07-16,38.83,61.17,42.21,32.69,15.19,0.0
2002-07-23,16.27,83.73,55.21,36.33,20.34,0.0
2002-07-30,22.1,77.9,53.98,40.21,29.66,11.01
2002-08-06,16.47,83.53,67.5,52.74,37.51,18.25
2002-08-13,31.12,68.88,55.78,45.58,34.56,18.84
2002-08-20,33.15,66.85,54.48,35.11,24.19,18.0
2002-08-27,36.03,63.97,49.58,33.14,23.91,14.98
2002-09-03,23.96,76.04,54.36,32.85,19.92,2.43
2002-09-10,24.01,75.99,58.88,30.05,15.99,2.85
2002-09-17,28.33,71.67,57.16,29.23,13.89,2.64
2002-09-24,30.47,69.53,56.95,29.06,13.65,2.7
2002-10-01,3.0,97.0,65.65,51.67,21.58,4.97
2002-10-08,20.87,79.13,58.64,30.13,4.42,0.0
2002-10-15,18.72,81.28,66.17,36.29,7.73,0.24
