Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,78.88,21.12,20.7,1.13,0.0,0.0
2000-01-11,78.53,21.47,21.18,1.13,0.0,0.0
2000-01-18,78.87,21.13,20.96,1.13,0.0,0.0
2000-01-25,71.64,28.36,21.21,1.13,0.0,0.0
2000-02-01,71.38,28.62,21.87,0.58,0.0,0.0
2000-02-08,71.38,28.62,21.87,9.7,0.0,0.0
2000-02-15,71.64,28.36,21.87,9.73,0.0,0.0
2000-02-22,71.65,28.35,21.62,9.73,0.0,0.0
2000-02-29,69.83,30.17,19.31,11.74,0.0,0.0
2000-03-07,69.71,30.29,21.53,11.73,0.0,0.0
2000-03-14,68.43,31.57,23.76,11.73,0.0,0.0
2000-03-21,68.42,31.58,23.76,11.74,0.0,0.0
2000-03-28,59.57,40.43,23.76,11.74,0.0,0.0
2000-04-04,62.59,37.41,23.76,12.73,0.0,0.0
2000-04-11,78.71,21.29,18.04,10.24,0.0,0.0
2000-04-18,76.85,23.15,20.92,15.43,0.0,0.0
2000-04-25,85.13,14.87,5.89,0.0,0.0,0.0
2000-05-02,85.13,14.87,7.76,0.0,0.0,0.0
2000-05-09,85.13,14.87,7.77,0.0,0.0,0.0
2000-05-16,83.59,16.41,7.77,0.0,0.0,0.0
2000-05-23,91.32,8.68,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,81.44,18.56,0.0,0.0,0.0,0.0
2001-01-30,86.9,13.1,0.0,0.0,0.0,0.0
2001-02-06,93.51,6.49,0.0,0.0,0.0,0.0
2001-02-13,93.51,6.49,0.0,0.0,0.0,0.0
2001-02-20,98.16,1.84,0.0,0.0,0.0,0.0
2001-02-27,92.88,7.12,0.0,0.0,0.0,0.0
2001-03-06,94.64,5.36,0.0,0.0,0.0,0.0
2001-03-13,94.64,5.36,0.0,0.0,0.0,0.0
2001-03-20,95.14,4.86,0.0,0.0,0.0,0.0
2001-03-27,70.71,29.29,0.0,0.0,0.0,0.0
2001-04-03,62.85,37.15,0.0,0.0,0.0,0.0
2001-04-10,94.94,5.06,0.0,0.0,0.0,0.0
2001-04-17,95.03,4.97,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,14.86,85.14,0.0,0.0,0.0,0.0
2001-05-15,14.86,85.14,0.0,0.0,0.0,0.0
2001-05-22,32.85,67.15,41.64,0.0,0.0,0.0
2001-05-29,32.45,67.55,39.8,0.0,0.0,0.0
2001-06-05,51.64,48.36,3.89,0.0,0.0,0.0
2001-06-12,66.93,33.07,3.89,0.0,0.0,0.0
2001-06-19,71.89,28.11,2.89,0.0,0.0,0.0
2001-06-26,74.68,25.32,0.0,0.0,0.0,0.0
2001-07-03,74.68,25.32,0.0,0.0,0.0,0.0
2001-07-10,62.41,37.59,0.0,0.0,0.0,0.0
2001-07-17,49.13,50.87,0.0,0.0,0.0,0.0
2001-07-24,50.67,49.33,12.52,0.0,0.0,0.0
2001-07-31,10.26,89.74,23.42,0.0,0.0,0.0
2001-08-07,4.75,95.25,19.59,0.0,0.0,0.0
2001-08-14,5.53,94.47,45.92,22.66,0.0,0.0
2001-08-21,8.75,91.25,47.66,28.3,0.0,0.0
2001-08-28,10.45,89.55,46.55,26.25,0.0,0.0
2001-09-04,22.45,77.55,31.93,17.67,0.0,0.0
2001-09-11,32.84,67.16,30.94,18.54,0.0,0.0
2001-09-18,13.46,86.54,30.94,18.54,0.0,0.0
2001-09-25,52.93,47.07,29.72,18.54,0.0,0.0
2001-10-02,63.48,36.52,22.26,0.0,0.0,0.0
2001-10-09,65.67,34.33,22.06,0.0,0.0,0.0
2001-10-16,67.27,32.73,18.35,0.0,0.0,0.0
2001-10-23,64.63,35.37,18.35,0.0,0.0,0.0
2001-10-30,77.61,22.39,8.51,0.0,0.0,0.0
2001-11-06,77.08,22.92,8.51,0.0,0.0,0.0
2001-11-13,76.3,23.7,8.51,0.0,0.0,0.0
2001-11-20,76.3,23.7,0.0,0.0,0.0,0.0
2001-11-27,76.66,23.34,8.51,0.0,0.0,0.0
2001-12-04,76.66,23.34,8.51,0.0,0.0,0.0
2001-12-11,76.66,23.34,8.63,0.0,0.0,0.0
2001-12-18,80.06,19.94,0.0,0.0,0.0,0.0
2001-12-25,97.76,2.24,0.0,0.0,0.0,0.0
2002-01-01,97.92,2.08,0.0,0.0,0.0,0.0
2002-01-08,98.65,1.35,0.0,0.0,0.0,0.0
2002-01-15,98.84,1.16,0.0,0.0,0.0,0.0
2002-01-22,99.39,0.61,0.0,0.0,0.0,0.0
2002-01-29,82.11,17.89,0.0,0.0,0.0,0.0
2002-02-05,93.37,6.63,0.0,0.0,0.0,0.0
2002-02-12,93.76,6.24,0.0,0.0,0.0,0.0
2002-02-19,93.34,6.66,0.0,0.0,0.0,0.0
2002-02-26,93.58,6.42,0.0,0.0,0.0,0.0
2002-03-05,93.22,6.78,0.0,0.0,0.0,0.0
2002-03-12,92.81,7.19,0.0,0.0,0.0,0.0
2002-03-19,93.56,6.44,0.0,0.0,0.0,0.0
2002-03-26,93.46,6.54,0.0,0.0,0.0,0.0
2002-04-02,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-09,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-16,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-23,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-30,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-07,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-14,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-21,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-28,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-04,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-11,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-18,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-02,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-09,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-16,71.02,28.98,0.0,0.0,0.0,0.0
2002-07-23,2.88,97.12,18.04,0.0,0.0,0.0
2002-07-30,34.5,65.5,27.0,0.0,0.0,0.0
2002-08-06,62.18,37.82,25.35,0.42,0.0,0.0
2002-08-13,62.49,37.51,34.37,17.48,0.0,0.0
2002-08-20,62.51,37.49,18.57,0.0,0.0,0.0
2002-08-27,68.7,31.3,5.84,0.0,0.0,0.0
2002-09-03,28.04,71.96,21.12,1.68,0.0,0.0
2002-09-10,0.0,100.0,71.59,2.11,0.0,0.0
2002-09-17,2.99,97.01,68.32,0.55,0.0,0.0
2002-09-24,2.03,97.97,65.84,0.17,0.0,0.0
2002-10-01,63.98,36.02,17.7,0.0,0.0,0.0
2002-10-08,64.01,35.99,29.19,0.0,0.0,0.0
2002-10-15,63.87,36.13,31.34,0.0,0.0,0.0
2002-10-22,65.89,34.11,31.09,0.0,0.0,0.0
2002-10-29,65.52,34.48,30.51,0.0,0.0,0.0
2002-11-05,65.66,34.34,30.71,0.0,0.0,0.0
2002-11-12,65.68,34.32,25.44,0.0,0.0,0.0
2002-11-19,65.72,34.28,26.18,0.0,0.0,0.0
2002-11-26,70.07,29.93,17.15,0.0,0.0,0.0
2002-12-03,70.25,29.75,15.33,0.0,0.0,0.0
2002-12-10,61.23,38.77,20.16,0.0,0.0,0.0
2002-12-17,61.17,38.83,18.93,0.42,0.0,0.0
2002-12-24,61.29,38.71,20.22,0.24,0.0,0.0
2002-12-31,61.74,38.26,10.42,0.0,0.0,0.0
2003-01-07,64.4,35.6,10.97,0.0,0.0,0.0
2003-01-14,64.35,35.65,11.71,0.0,0.0,0.0
2003-01-21,65.39,34.61,11.64,0.02,0.0,0.0
2003-01-28,61.59,38.41,11.49,0.83,0.0,0.0
2003-02-04,61.86,38.14,12.03,0.75,0.0,0.0
2003-02-11,61.27,38.73,12.46,0.91,0.0,0.0
2003-02-18,64.46,35.54,12.03,0.79,0.0,0.0
2003-02-25,64.71,35.29,12.23,0.43,0.0,0.0
2003-03-04,64.23,35.77,12.13,0.6,0.0,0.0
2003-03-11,64.52,35.48,11.31,0.46,0.0,0.0
2003-03-18,43.13,56.87,12.72,0.46,0.0,0.0
2003-03-25,54.24,45.76,28.85,0.55,0.0,0.0
2003-04-01,59.35,40.65,13.16,0.0,0.0,0.0
2003-04-08,87.3,12.7,0.3,0.0,0.0,0.0
2003-04-15,78.62,21.38,0.14,0.0,0.0,0.0
2003-04-22,62.82,37.18,2.23,0.0,0.0,0.0
2003-04-29,51.27,48.73,15.97,0.0,0.0,0.0
2003-05-06,65.63,34.37,12.06,0.0,0.0,0.0
2003-05-13,74.07,25.93,4.72,0.0,0.0,0.0
2003-05-20,78.62,21.38,3.8,0.0,0.0,0.0
