Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,18.46,81.54,54.31,0.0,0.0,0.0
2000-01-11,11.72,88.28,29.57,0.0,0.0,0.0
2000-01-18,11.56,88.44,29.51,0.0,0.0,0.0
2000-01-25,2.05,97.95,23.57,0.0,0.0,0.0
2000-02-01,5.38,94.62,18.97,0.0,0.0,0.0
2000-02-08,5.38,94.62,20.62,0.0,0.0,0.0
2000-02-15,10.0,90.0,20.62,0.0,0.0,0.0
2000-02-22,82.26,17.74,2.04,0.0,0.0,0.0
2000-02-29,77.98,22.02,0.75,0.0,0.0,0.0
2000-03-07,43.67,56.33,11.35,0.0,0.0,0.0
2000-03-14,37.99,62.01,11.3,0.0,0.0,0.0
2000-03-21,39.86,60.14,12.63,0.0,0.0,0.0
2000-03-28,46.58,53.42,8.91,0.0,0.0,0.0
2000-04-04,43.16,56.84,6.09,0.09,0.0,0.0
2000-04-11,65.79,34.21,5.32,0.0,0.0,0.0
2000-04-18,57.79,42.21,0.5,0.0,0.0,0.0
2000-04-25,73.92,26.08,0.0,0.0,0.0,0.0
2000-05-02,73.92,26.08,0.0,0.0,0.0,0.0
2000-05-09,77.16,22.84,0.0,0.0,0.0,0.0
2000-05-16,76.29,23.71,0.0,0.0,0.0,0.0
2000-05-23,73.45,26.55,0.0,0.0,0.0,0.0
2000-05-30,85.3,14.7,0.0,0.0,0.0,0.0
2000-06-06,85.3,14.7,0.0,0.0,0.0,0.0
2000-06-13,75.55,24.45,0.4,0.0,0.0,0.0
2000-06-20,75.76,24.24,0.59,0.0,0.0,0.0
2000-06-27,68.15,31.85,13.94,0.0,0.0,0.0
2000-07-04,84.06,15.94,2.35,0.16,0.0,0.0
2000-07-11,94.3,5.7,2.35,0.16,0.0,0.0
2000-07-18,94.81,5.19,2.35,0.13,0.0,0.0
2000-07-25,97.36,2.64,0.75,0.0,0.0,0.0
2000-08-01,97.54,2.46,0.75,0.0,0.0,0.0
2000-08-08,98.46,1.54,0.72,0.0,0.0,0.0
2000-08-15,99.06,0.94,0.03,0.0,0.0,0.0
2000-08-22,99.05,0.95,0.04,0.0,0.0,0.0
2000-08-29,99.2,0.8,0.04,0.0,0.0,0.0
2000-09-05,99.56,0.44,0.0,0.0,0.0,0.0
2000-09-12,99.56,0.44,0.0,0.0,0.0,0.0
2000-09-19,99.56,0.44,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,98.78,1.22,0.0,0.0,0.0,0.0
2000-10-17,79.12,20.88,2.96,0.23,0.0,0.0
2000-10-24,80.05,19.95,4.18,1.86,0.0,0.0
2000-10-31,43.65,56.35,16.11,5.97,1.99,0.0
2000-11-07,43.7,56.3,16.31,7.52,2.44,0.0
2000-11-14,70.52,29.48,15.71,7.24,1.3,0.0
2000-11-21,73.33,26.67,12.92,6.26,0.63,0.0
2000-11-28,31.12,68.88,13.32,6.26,0.59,0.0
2000-12-05,32.34,67.66,31.76,12.46,0.59,0.0
2000-12-12,32.48,67.52,41.13,16.12,1.45,0.0
2000-12-19,55.23,44.77,21.33,8.15,0.3,0.0
2000-12-26,55.5,44.5,21.33,8.15,0.66,0.0
2001-01-02,55.5,44.5,21.33,8.15,0.66,0.0
2001-01-09,55.5,44.5,23.43,12.91,1.51,0.0
2001-01-16,48.34,51.66,23.43,12.91,1.51,0.0
2001-01-23,40.09,59.91,14.11,3.28,0.0,0.0
2001-01-30,51.28,48.72,14.11,3.28,0.0,0.0
2001-02-06,51.64,48.36,14.85,4.19,0.0,0.0
2001-02-13,51.23,48.77,28.73,10.53,1.96,0.0
2001-02-20,67.67,32.33,11.02,6.64,1.96,0.0
2001-02-27,67.67,32.33,11.02,6.33,1.96,0.0
2001-03-06,69.45,30.55,11.02,6.33,1.96,0.0
2001-03-13,69.33,30.67,11.02,2.99,1.74,0.0
2001-03-20,69.84,30.16,10.94,2.99,1.66,0.0
2001-03-27,0.44,99.56,9.89,2.99,1.66,0.0
2001-04-03,1.15,98.85,8.63,2.89,0.43,0.0
2001-04-10,11.15,88.85,8.71,2.89,0.43,0.0
2001-04-17,41.37,58.63,8.36,2.89,0.43,0.0
2001-04-24,46.76,53.24,8.33,2.7,0.43,0.0
2001-05-01,38.28,61.72,36.28,3.36,0.43,0.0
2001-05-08,0.0,100.0,58.59,18.43,3.56,0.0
2001-05-15,0.0,100.0,65.9,39.37,10.12,0.0
2001-05-22,33.62,66.38,26.2,3.7,1.14,0.0
2001-05-29,73.09,26.91,3.95,1.43,0.44,0.0
2001-06-05,92.34,7.66,2.92,1.77,1.0,0.0
2001-06-12,94.36,5.64,2.9,1.77,1.0,0.0
2001-06-19,91.18,8.82,4.28,2.13,0.8,0.0
2001-06-26,91.18,8.82,4.28,2.13,0.8,0.0
2001-07-03,91.18,8.82,2.6,0.0,0.0,0.0
2001-07-10,99.52,0.48,0.03,0.0,0.0,0.0
2001-07-17,93.0,7.0,0.03,0.0,0.0,0.0
2001-07-24,91.98,8.02,0.03,0.0,0.0,0.0
2001-07-31,88.45,11.55,0.03,0.0,0.0,0.0
2001-08-07,85.98,14.02,0.0,0.0,0.0,0.0
2001-08-14,86.41,13.59,0.0,0.0,0.0,0.0
2001-08-21,78.26,21.74,5.62,0.02,0.0,0.0
2001-08-28,79.0,21.0,6.09,0.21,0.0,0.0
2001-09-04,86.6,13.4,2.66,0.0,0.0,0.0
2001-09-11,88.25,11.75,2.66,0.0,0.0,0.0
2001-09-18,88.25,11.75,2.66,0.0,0.0,0.0
2001-09-25,89.59,10.41,2.66,0.0,0.0,0.0
2001-10-02,86.37,13.63,0.15,0.0,0.0,0.0
2001-10-09,72.68,27.32,1.31,0.0,0.0,0.0
2001-10-16,81.54,18.46,1.18,0.0,0.0,0.0
2001-10-23,78.87,21.13,1.42,0.0,0.0,0.0
2001-10-30,62.14,37.86,0.74,0.0,0.0,0.0
2001-11-06,52.78,47.22,6.72,0.0,0.0,0.0
2001-11-13,43.23,56.77,23.34,0.0,0.0,0.0
2001-11-20,43.23,56.77,32.26,2.75,0.0,0.0
2001-11-27,43.89,56.11,32.53,2.25,0.0,0.0
2001-12-04,43.89,56.11,46.71,14.89,0.0,0.0
2001-12-11,56.72,43.28,17.61,2.01,0.0,0.0
2001-12-18,56.77,43.23,17.88,0.85,0.0,0.0
2001-12-25,56.77,43.23,17.88,0.64,0.0,0.0
2002-01-01,57.23,42.77,19.09,0.54,0.0,0.0
2002-01-08,45.45,54.55,19.71,0.54,0.0,0.0
2002-01-15,52.02,47.98,19.69,0.68,0.0,0.0
2002-01-22,49.87,50.13,25.54,0.22,0.0,0.0
2002-01-29,55.0,45.0,26.61,1.0,0.0,0.0
2002-02-05,57.98,42.02,25.62,0.0,0.0,0.0
2002-02-12,54.9,45.1,30.5,2.24,0.0,0.0
2002-02-19,49.62,50.38,31.04,9.34,0.0,0.0
2002-02-26,45.28,54.72,31.53,12.13,0.0,0.0
2002-03-05,44.13,55.87,31.25,13.03,0.0,0.0
2002-03-12,28.05,71.95,52.84,24.63,11.76,0.0
2002-03-19,22.51,77.49,37.42,16.81,1.7,0.0
2002-03-26,44.31,55.69,29.06,10.58,1.73,0.0
2002-04-02,65.7,34.3,16.85,6.26,0.0,0.0
2002-04-09,65.25,34.75,17.49,6.28,0.0,0.0
2002-04-16,70.92,29.08,14.99,4.28,0.0,0.0
2002-04-23,77.87,22.13,8.07,1.3,0.0,0.0
2002-04-30,84.74,15.26,2.82,1.22,0.0,0.0
2002-05-07,84.81,15.19,3.49,0.0,0.0,0.0
2002-05-14,91.48,8.52,1.55,0.0,0.0,0.0
2002-05-21,91.5,8.5,1.11,0.0,0.0,0.0
2002-05-28,91.61,8.39,1.03,0.0,0.0,0.0
2002-06-04,92.71,7.29,0.8,0.0,0.0,0.0
2002-06-11,90.95,9.05,5.58,0.64,0.0,0.0
2002-06-18,90.18,9.82,6.5,1.77,0.06,0.0
2002-06-25,84.21,15.79,10.2,4.82,1.6,0.0
2002-07-02,84.87,15.13,10.11,4.61,1.67,0.0
2002-07-09,81.71,18.29,8.8,4.95,1.71,0.0
2002-07-16,76.71,23.29,6.51,4.5,1.52,0.0
2002-07-23,46.55,53.45,8.72,5.4,1.66,0.0
2002-07-30,59.56,40.44,22.11,0.44,0.0,0.0
2002-08-06,26.47,73.53,25.78,13.19,0.09,0.0
2002-08-13,13.11,86.89,48.82,14.04,0.27,0.0
2002-08-20,13.42,86.58,48.97,5.82,0.63,0.0
2002-08-27,13.09,86.91,64.5,5.98,1.28,0.0
2002-09-03,0.0,100.0,79.94,48.14,6.12,0.03
2002-09-10,0.0,100.0,93.51,65.23,6.58,2.98
2002-09-17,0.0,100.0,100.0,65.58,6.71,3.13
2002-09-24,0.0,100.0,100.0,59.46,8.02,3.25
2002-10-01,0.01,99.99,35.72,6.98,1.98,0.0
2002-10-08,15.14,84.86,33.09,12.16,6.31,1.6
2002-10-15,18.06,81.94,33.63,12.08,3.67,0.0
2002-10-22,48.48,51.52,16.58,2.17,0.13,0.0
2002-10-29,56.57,43.43,10.19,2.26,0.0,0.0
2002-11-05,59.69,40.31,11.97,2.28,0.0,0.0
2002-11-12,77.53,22.47,1.68,0.0,0.0,0.0
2002-11-19,80.64,19.36,1.61,0.0,0.0,0.0
2002-11-26,90.28,9.72,0.0,0.0,0.0,0.0
2002-12-03,87.64,12.36,0.0,0.0,0.0,0.0
2002-12-10,83.03,16.97,0.0,0.0,0.0,0.0
2002-12-17,88.27,11.73,0.0,0.0,0.0,0.0
2002-12-24,88.85,11.15,0.0,0.0,0.0,0.0
2002-12-31,92.29,7.71,0.0,0.0,0.0,0.0
2003-01-07,98.74,1.26,0.0,0.0,0.0,0.0
2003-01-14,98.63,1.37,0.0,0.0,0.0,0.0
2003-01-21,99.09,0.91,0.0,0.0,0.0,0.0
2003-01-28,98.6,1.4,0.0,0.0,0.0,0.0
2003-02-04,98.89,1.11,0.0,0.0,0.0,0.0
2003-02-11,98.55,1.45,0.0,0.0,0.0,0.0
2003-02-18,99.84,0.16,0.0,0.0,0.0,0.0
2003-02-25,99.94,0.06,0.0,0.0,0.0,0.0
2003-03-04,99.92,0.08,0.0,0.0,0.0,0.0
2003-03-11,99.86,0.14,0.0,0.0,0.0,0.0
2003-03-18,99.93,0.07,0.0,0.0,0.0,0.0
2003-03-25,81.02,18.98,0.11,0.0,0.0,0.0
2003-04-01,86.5,13.5,0.0,0.0,0.0,0.0
2003-04-08,99.9,0.1,0.0,0.0,0.0,0.0
2003-04-15,94.67,5.33,0.0,0.0,0.0,0.0
2003-04-22,88.8,11.2,0.0,0.0,0.0,0.0
2003-04-29,64.32,35.68,0.42,0.0,0.0,0.0
2003-05-06,91.96,8.04,0.53,0.0,0.0,0.0
2003-05-13,95.13,4.87,0.0,0.0,0.0,0.0
2003-05-20,99.52,0.48,0.0,0.0,0.0,0.0
2003-05-27,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-03,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-10,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-17,100.0,0.0,0.0,0.0,0.0,0.0
2003-06-24,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-08,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-15,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-22,100.0,0.0,0.0,0.0,0.0,0.0
2003-07-29,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-05,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-12,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-19,100.0,0.0,0.0,0.0,0.0,0.0
2003-08-26,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-09-30,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-14,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-21,100.0,0.0,0.0,0.0,0.0,0.0
2003-10-28,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-04,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-11,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-18,100.0,0.0,0.0,0.0,0.0,0.0
2003-11-25,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-02,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-09,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-16,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-23,100.0,0.0,0.0,0.0,0.0,0.0
2003-12-30,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-06,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-13,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-20,100.0,0.0,0.0,0.0,0.0,0.0
2004-01-27,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-03,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-10,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-17,100.0,0.0,0.0,0.0,0.0,0.0
2004-02-24,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-02,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-09,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-16,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-23,100.0,0.0,0.0,0.0,0.0,0.0
2004-03-30,100.0,0.0,0.0,0.0,0.0,0.0
2004-04-06,100.0,0.0,0.0,0.0,0.0,0.0
2004-04-13,99.9,0.1,0.0,0.0,0.0,0.0
2004-04-20,99.54,0.46,0.0,0.0,0.0,0.0
2004-04-27,99.54,0.46,0.0,0.0,0.0,0.0
2004-05-04,99.4,0.6,0.0,0.0,0.0,0.0
2004-05-11,100.0,0.0,0.0,0.0,0.0,0.0
2004-05-18,100.0,0.0,0.0,0.0,0.0,0.0
2004-05-25,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-08,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-15,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-22,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-29,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-06,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-13,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-20,100.0,0.0,0.0,0.0,0.0,0.0
2004-07-27,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-03,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-10,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-17,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-24,100.0,0.0,0.0,0.0,0.0,0.0
2004-08-31,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-07,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-14,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-21,100.0,0.0,0.0,0.0,0.0,0.0
2004-09-28,100.0,0.0,0.0,0.0,0.0,0.0
2004-10-05,100.0,0.0,0.0,0.0,0.0,0.0
2004-10-12,100.0,0.0,0.0,0.0,0.0,0.0
2004-10-19,100.0,0.0,0.0,0.0,0.0,0.0
2004-10-26,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-02,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-09,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-16,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-23,100.0,0.0,0.0,0.0,0.0,0.0
2004-11-30,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-07,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-14,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-21,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-28,100.0,0.0,0.0,0.0,0.0,0.0
2005-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2005-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2005-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2005-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-08,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-15,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-22,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-29,100.0,0.0,0.0,0.0,0.0,0.0
2005-04-05,100.0,0.0,0.0,0.0,0.0,0.0
2005-04-12,100.0,0.0,0.0,0.0,0.0,0.0
2005-04-19,87.92,12.08,0.0,0.0,0.0,0.0
2005-04-26,100.0,0.0,0.0,0.0,0.0,0.0
2005-05-03,100.0,0.0,0.0,0.0,0.0,0.0
2005-05-10,100.0,0.0,0.0,0.0,0.0,0.0
2005-05-17,100.0,0.0,0.0,0.0,0.0,0.0
2005-05-24,100.0,0.0,0.0,0.0,0.0,0.0
2005-05-31,100.0,0.0,0.0,0.0,0.0,0.0
2005-06-07,98.86,1.14,0.0,0.0,0.0,0.0
2005-06-14,98.86,1.14,0.0,0.0,0.0,0.0
2005-06-21,92.04,7.96,0.0,0.0,0.0,0.0
2005-06-28,16.11,83.89,0.0,0.0,0.0,0.0
2005-07-05,73.45,26.55,0.0,0.0,0.0,0.0
2005-07-12,71.2,28.8,0.0,0.0,0.0,0.0
2005-07-19,72.45,27.55,0.0,0.0,0.0,0.0
2005-07-26,79.07,20.93,0.0,0.0,0.0,0.0
2005-08-02,80.86,19.14,0.36,0.0,0.0,0.0
2005-08-09,56.9,43.1,13.54,0.0,0.0,0.0
2005-08-16,47.79,52.21,25.56,6.96,0.0,0.0
2005-08-23,61.56,38.44,21.52,6.11,0.0,0.0
2005-08-30,70.02,29.98,12.2,0.0,0.0,0.0
2005-09-06,80.56,19.44,0.0,0.0,0.0,0.0
2005-09-13,76.55,23.45,0.0,0.0,0.0,0.0
2005-09-20,67.53,32.47,0.7,0.0,0.0,0.0
2005-09-27,54.26,45.74,7.17,0.0,0.0,0.0
2005-10-04,26.27,73.73,20.47,0.0,0.0,0.0
2005-10-11,30.72,69.28,22.68,6.82,0.0,0.0
2005-10-18,28.59,71.41,23.02,7.58,0.0,0.0
2005-10-25,35.15,64.85,23.02,7.29,0.0,0.0
2005-11-01,38.02,61.98,23.02,7.29,0.0,0.0
2005-11-08,31.49,68.51,20.55,7.08,0.0,0.0
2005-11-15,63.16,36.84,19.42,6.88,0.0,0.0
2005-11-22,63.3,36.7,18.28,6.92,0.0,0.0
2005-11-29,63.56,36.44,16.39,7.87,0.0,0.0
2005-12-06,67.0,33.0,16.39,7.87,0.0,0.0
2005-12-13,71.37,28.63,16.39,7.87,0.0,0.0
2005-12-20,71.45,28.55,16.39,7.87,0.0,0.0
2005-12-27,71.45,28.55,16.39,7.87,0.0,0.0
2006-01-03,79.79,20.21,8.8,0.0,0.0,0.0
2006-01-10,79.79,20.21,8.8,0.0,0.0,0.0
2006-01-17,79.66,20.34,8.8,0.0,0.0,0.0
2006-01-24,89.79,10.21,1.07,0.0,0.0,0.0
2006-01-31,89.66,10.34,1.08,0.0,0.0,0.0
2006-02-07,90.46,9.54,0.0,0.0,0.0,0.0
2006-02-14,90.46,9.54,0.0,0.0,0.0,0.0
2006-02-21,90.51,9.49,0.0,0.0,0.0,0.0
2006-02-28,45.16,54.84,0.0,0.0,0.0,0.0
2006-03-07,19.02,80.98,1.35,0.0,0.0,0.0
2006-03-14,53.61,46.39,6.27,0.0,0.0,0.0
2006-03-21,53.61,46.39,8.03,0.0,0.0,0.0
2006-03-28,53.61,46.39,20.54,0.0,0.0,0.0
2006-04-04,46.42,53.58,20.54,0.0,0.0,0.0
2006-04-11,77.88,22.12,1.77,0.0,0.0,0.0
2006-04-18,80.88,19.12,1.23,0.0,0.0,0.0
2006-04-25,80.88,19.12,0.03,0.0,0.0,0.0
2006-05-02,71.62,28.38,0.03,0.0,0.0,0.0
2006-05-09,11.77,88.23,7.77,0.0,0.0,0.0
2006-05-16,20.15,79.85,0.03,0.0,0.0,0.0
2006-05-23,53.32,46.68,1.06,0.0,0.0,0.0
2006-05-30,53.32,46.68,1.06,0.0,0.0,0.0
2006-06-06,53.32,46.68,1.06,0.0,0.0,0.0
2006-06-13,53.32,46.68,1.06,0.0,0.0,0.0
2006-06-20,53.38,46.62,4.15,0.19,0.0,0.0
2006-06-27,98.46,1.54,0.19,0.0,0.0,0.0
2006-07-04,98.25,1.75,0.0,0.0,0.0,0.0
2006-07-11,98.39,1.61,0.0,0.0,0.0,0.0
2006-07-18,99.49,0.51,0.0,0.0,0.0,0.0
2006-07-25,99.49,0.51,0.0,0.0,0.0,0.0
2006-08-01,95.16,4.84,0.0,0.0,0.0,0.0
2006-08-08,86.07,13.93,0.53,0.0,0.0,0.0
2006-08-15,64.85,35.15,0.0,0.0,0.0,0.0
2006-08-22,63.45,36.55,0.0,0.0,0.0,0.0
2006-08-29,62.94,37.06,0.04,0.0,0.0,0.0
2006-09-05,66.42,33.58,0.0,0.0,0.0,0.0
2006-09-12,99.53,0.47,0.0,0.0,0.0,0.0
2006-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2006-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2006-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2006-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2006-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2006-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2006-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2006-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2006-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2006-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2006-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2006-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2006-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2006-12-19,85.48,14.52,0.0,0.0,0.0,0.0
2006-12-26,85.48,14.52,0.0,0.0,0.0,0.0
2007-01-02,64.55,35.45,0.0,0.0,0.0,0.0
2007-01-09,63.81,36.19,0.0,0.0,0.0,0.0
2007-01-16,73.89,26.11,0.0,0.0,0.0,0.0
2007-01-23,78.02,21.98,0.0,0.0,0.0,0.0
2007-01-30,66.45,33.55,0.0,0.0,0.0,0.0
2007-02-06,55.28,44.72,0.0,0.0,0.0,0.0
2007-02-13,51.52,48.48,0.0,0.0,0.0,0.0
2007-02-20,44.7,55.3,6.18,0.0,0.0,0.0
2007-02-27,69.22,30.78,4.15,0.0,0.0,0.0
2007-03-06,85.65,14.35,0.0,0.0,0.0,0.0
2007-03-13,63.27,36.73,2.65,0.0,0.0,0.0
2007-03-20,74.81,25.19,2.65,0.0,0.0,0.0
2007-03-27,74.32,25.68,4.99,0.0,0.0,0.0
2007-04-03,82.49,17.51,4.01,0.0,0.0,0.0
2007-04-10,79.36,20.64,5.34,0.0,0.0,0.0
2007-04-17,92.95,7.05,0.0,0.0,0.0,0.0
2007-04-24,92.95,7.05,0.0,0.0,0.0,0.0
2007-05-01,92.95,7.05,1.06,0.0,0.0,0.0
2007-05-08,90.32,9.68,1.06,0.0,0.0,0.0
2007-05-15,44.36,55.64,1.55,0.0,0.0,0.0
2007-05-22,43.92,56.08,4.51,0.0,0.0,0.0
2007-05-29,39.51,60.49,12.4,0.0,0.0,0.0
2007-06-05,16.17,83.83,32.48,0.0,0.0,0.0
2007-06-12,7.81,92.19,33.97,1.01,0.0,0.0
2007-06-19,0.0,100.0,68.51,10.94,0.0,0.0
2007-06-26,0.0,100.0,67.64,21.55,0.0,0.0
2007-07-03,0.0,100.0,61.85,16.21,0.0,0.0
2007-07-10,0.0,100.0,70.77,20.9,0.0,0.0
2007-07-17,0.0,100.0,75.32,23.56,0.0,0.0
2007-07-24,0.0,100.0,73.88,23.56,0.0,0.0
2007-07-31,0.0,100.0,55.27,15.98,0.0,0.0
2007-08-07,0.0,100.0,54.38,11.55,0.0,0.0
2007-08-14,8.5,91.5,53.81,23.62,0.0,0.0
2007-08-21,12.76,87.24,57.96,23.62,4.18,0.0
2007-08-28,16.45,83.55,57.44,28.01,13.19,0.0
2007-09-04,18.12,81.88,58.06,34.74,11.42,0.0
2007-09-11,19.83,80.17,58.2,36.94,14.52,0.01
2007-09-18,29.74,70.26,51.31,34.9,14.45,0.0
2007-09-25,25.66,74.34,56.44,38.63,14.5,0.0
2007-10-02,28.46,71.54,57.94,40.76,16.85,1.72
2007-10-09,25.92,74.08,61.45,47.83,27.01,1.72
2007-10-16,25.92,74.08,61.45,47.83,27.15,1.98
2007-10-23,26.02,73.98,60.41,41.7,19.31,1.98
2007-10-30,36.24,63.76,44.49,23.66,3.3,0.0
2007-11-06,36.24,63.76,44.58,27.71,4.75,0.09
2007-11-13,36.24,63.76,44.58,27.71,4.75,0.09
2007-11-20,36.24,63.76,44.58,27.76,4.75,0.12
2007-11-27,37.07,62.93,41.77,22.57,4.09,0.12
2007-12-04,41.62,58.38,36.12,21.15,4.09,0.12
2007-12-11,57.01,42.99,26.68,14.32,4.53,1.63
2007-12-18,67.36,32.64,19.69,7.98,4.53,1.63
2007-12-25,67.36,32.64,19.69,7.98,4.53,1.63
2008-01-01,67.36,32.64,19.53,7.89,4.42,1.44
2008-01-08,67.36,32.64,19.53,7.89,4.42,1.44
2008-01-15,70.77,29.23,16.59,5.73,2.34,0.12
2008-01-22,77.69,22.31,16.59,5.73,2.34,0.12
2008-01-29,77.69,22.31,16.59,6.11,2.34,0.12
2008-02-05,77.69,22.31,16.59,3.84,1.04,0.12
2008-02-12,79.37,20.63,15.15,3.84,1.04,0.12
2008-02-19,79.37,20.63,15.15,3.84,1.04,0.12
2008-02-26,81.06,18.94,12.71,2.38,0.96,0.0
2008-03-04,81.06,18.94,12.71,2.38,0.96,0.0
2008-03-11,84.65,15.35,7.42,1.51,0.0,0.0
2008-03-18,84.65,15.35,7.42,1.51,0.0,0.0
2008-03-25,87.64,12.36,7.44,0.34,0.0,0.0
2008-04-01,87.64,12.36,7.44,0.44,0.0,0.0
2008-04-08,89.02,10.98,5.99,0.0,0.0,0.0
2008-04-15,89.02,10.98,5.99,0.0,0.0,0.0
2008-04-22,89.02,10.98,5.99,0.0,0.0,0.0
2008-04-29,89.02,10.98,3.7,0.0,0.0,0.0
2008-05-06,89.02,10.98,3.7,0.0,0.0,0.0
2008-05-13,89.02,10.98,3.67,0.0,0.0,0.0
2008-05-20,89.43,10.57,3.67,0.0,0.0,0.0
2008-05-27,89.43,10.57,3.67,0.47,0.0,0.0
2008-06-03,89.43,10.57,3.67,0.47,0.0,0.0
2008-06-10,82.16,17.84,7.86,2.5,0.02,0.0
2008-06-17,82.16,17.84,7.86,2.5,0.02,0.0
2008-06-24,82.16,17.84,7.86,2.5,0.07,0.0
2008-07-01,82.16,17.84,7.86,2.42,0.07,0.0
2008-07-08,82.16,17.84,8.13,3.07,0.07,0.0
2008-07-15,84.72,15.28,8.13,2.9,0.07,0.0
2008-07-22,84.72,15.28,8.13,2.9,0.07,0.0
2008-07-29,84.72,15.28,8.13,2.9,0.07,0.0
