Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,98.49,1.51,0.0,0.0,0.0,0.0
2000-01-11,77.02,22.98,0.0,0.0,0.0,0.0
2000-01-18,76.57,23.43,0.0,0.0,0.0,0.0
2000-01-25,87.01,12.99,0.0,0.0,0.0,0.0
2000-02-01,91.08,8.92,0.0,0.0,0.0,0.0
2000-02-08,91.08,8.92,0.0,0.0,0.0,0.0
2000-02-15,91.08,8.92,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,98.15,1.85,0.0,0.0,0.0,0.0
2000-03-07,98.09,1.91,0.0,0.0,0.0,0.0
2000-03-14,96.38,3.62,0.0,0.0,0.0,0.0
2000-03-21,85.25,14.75,0.0,0.0,0.0,0.0
2000-03-28,88.7,11.3,0.0,0.0,0.0,0.0
2000-04-04,83.88,16.12,0.0,0.0,0.0,0.0
2000-04-11,84.13,15.87,0.0,0.0,0.0,0.0
2000-04-18,89.55,10.45,0.0,0.0,0.0,0.0
2000-04-25,86.77,13.23,0.0,0.0,0.0,0.0
2000-05-02,86.77,13.23,0.0,0.0,0.0,0.0
2000-05-09,85.63,14.37,0.0,0.0,0.0,0.0
2000-05-16,85.63,14.37,0.0,0.0,0.0,0.0
2000-05-23,86.52,13.48,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,98.27,1.73,0.0,0.0,0.0,0.0
2000-10-31,66.41,33.59,0.0,0.0,0.0,0.0
2000-11-07,30.1,69.9,0.0,0.0,0.0,0.0
2000-11-14,80.01,19.99,0.0,0.0,0.0,0.0
2000-11-21,82.75,17.25,0.0,0.0,0.0,0.0
2000-11-28,80.53,19.47,0.0,0.0,0.0,0.0
2000-12-05,75.88,24.12,0.0,0.0,0.0,0.0
2000-12-12,63.06,36.94,0.0,0.0,0.0,0.0
2000-12-19,99.22,0.78,0.0,0.0,0.0,0.0
2000-12-26,99.22,0.78,0.0,0.0,0.0,0.0
2001-01-02,99.22,0.78,0.0,0.0,0.0,0.0
2001-01-09,99.22,0.78,0.0,0.0,0.0,0.0
2001-01-16,99.22,0.78,0.0,0.0,0.0,0.0
2001-01-23,61.21,38.79,0.0,0.0,0.0,0.0
2001-01-30,57.75,42.25,0.0,0.0,0.0,0.0
2001-02-06,74.42,25.58,0.0,0.0,0.0,0.0
2001-02-13,74.6,25.4,0.0,0.0,0.0,0.0
2001-02-20,76.23,23.77,0.0,0.0,0.0,0.0
2001-02-27,73.62,26.38,0.0,0.0,0.0,0.0
2001-03-06,79.05,20.95,0.0,0.0,0.0,0.0
2001-03-13,79.05,20.95,0.0,0.0,0.0,0.0
2001-03-20,80.55,19.45,0.0,0.0,0.0,0.0
2001-03-27,88.16,11.84,0.0,0.0,0.0,0.0
2001-04-03,91.31,8.69,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,0.0,100.0,0.14,0.0,0.0,0.0
2001-05-15,0.0,100.0,61.85,0.0,0.0,0.0
2001-05-22,0.0,100.0,81.12,0.0,0.0,0.0
2001-05-29,33.15,66.85,48.55,0.0,0.0,0.0
2001-06-05,42.0,58.0,16.86,0.0,0.0,0.0
2001-06-12,50.85,49.15,16.86,0.0,0.0,0.0
2001-06-19,73.37,26.63,6.67,0.0,0.0,0.0
2001-06-26,90.24,9.76,0.0,0.0,0.0,0.0
2001-07-03,90.24,9.76,0.0,0.0,0.0,0.0
2001-07-10,91.82,8.18,0.0,0.0,0.0,0.0
2001-07-17,90.84,9.16,0.0,0.0,0.0,0.0
2001-07-24,67.01,32.99,0.08,0.0,0.0,0.0
2001-07-31,58.6,41.4,0.05,0.0,0.0,0.0
2001-08-07,48.59,51.41,1.09,0.0,0.0,0.0
2001-08-14,51.74,48.26,15.25,0.7,0.0,0.0
2001-08-21,78.05,21.95,2.06,0.43,0.0,0.0
2001-08-28,56.75,43.25,8.4,0.13,0.0,0.0
2001-09-04,58.4,41.6,0.3,0.0,0.0,0.0
2001-09-11,53.97,46.03,11.18,0.0,0.0,0.0
2001-09-18,34.26,65.74,17.71,0.0,0.0,0.0
2001-09-25,58.86,41.14,6.84,0.0,0.0,0.0
2001-10-02,69.34,30.66,6.17,0.0,0.0,0.0
2001-10-09,63.76,36.24,7.63,0.0,0.0,0.0
2001-10-16,65.53,34.47,8.79,0.0,0.0,0.0
2001-10-23,35.29,64.71,8.79,0.0,0.0,0.0
2001-10-30,36.37,63.63,29.79,0.0,0.0,0.0
2001-11-06,33.74,66.26,33.27,0.0,0.0,0.0
2001-11-13,22.85,77.15,33.78,0.0,0.0,0.0
2001-11-20,22.85,77.15,55.93,0.0,0.0,0.0
2001-11-27,21.6,78.4,50.89,0.0,0.0,0.0
2001-12-04,21.6,78.4,51.52,2.78,0.0,0.0
2001-12-11,21.6,78.4,49.31,0.0,0.0,0.0
2001-12-18,21.6,78.4,45.84,15.23,0.0,0.0
