Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,78.57,21.43,13.29,5.55,0.0,0.0
2000-01-11,66.59,33.41,17.45,5.55,0.0,0.0
2000-01-18,66.66,33.34,17.39,5.55,0.0,0.0
2000-01-25,36.3,63.7,12.41,5.55,0.0,0.0
2000-02-01,36.25,63.75,11.87,5.53,0.0,0.0
2000-02-08,36.25,63.75,11.87,5.93,0.0,0.0
2000-02-15,36.25,63.75,11.87,5.53,0.0,0.0
2000-02-22,36.25,63.75,11.87,5.53,0.0,0.0
2000-02-29,37.4,62.6,16.89,6.01,0.0,0.0
2000-03-07,37.4,62.6,19.3,6.01,0.0,0.0
2000-03-14,45.6,54.4,18.42,7.14,0.0,0.0
2000-03-21,39.01,60.99,18.42,7.14,0.0,0.0
2000-03-28,34.84,65.16,18.42,7.14,0.0,0.0
2000-04-04,30.4,69.6,27.12,8.97,0.0,0.0
2000-04-11,28.63,71.37,51.86,12.01,0.0,0.0
2000-04-18,27.58,72.42,54.54,14.85,0.0,0.0
2000-04-25,28.32,71.68,37.99,1.07,0.0,0.0
2000-05-02,23.14,76.86,38.03,1.39,0.0,0.0
2000-05-09,23.14,76.86,41.75,0.95,0.0,0.0
2000-05-16,0.14,99.86,44.61,1.14,0.0,0.0
2000-05-23,58.32,41.68,7.8,0.0,0.0,0.0
2000-05-30,62.17,37.83,7.98,0.0,0.0,0.0
2000-06-06,63.4,36.6,6.97,0.0,0.0,0.0
2000-06-13,56.98,43.02,6.82,0.0,0.0,0.0
2000-06-20,69.32,30.68,6.44,0.0,0.0,0.0
2000-06-27,77.26,22.74,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,84.32,15.68,0.0,0.0,0.0,0.0
2000-07-25,84.32,15.68,0.0,0.0,0.0,0.0
2000-08-01,88.9,11.1,0.0,0.0,0.0,0.0
2000-08-08,88.37,11.63,0.0,0.0,0.0,0.0
2000-08-15,92.08,7.92,0.0,0.0,0.0,0.0
2000-08-22,87.09,12.91,5.25,0.0,0.0,0.0
2000-08-29,87.09,12.91,5.25,0.0,0.0,0.0
2000-09-05,88.52,11.48,4.37,0.0,0.0,0.0
2000-09-12,89.23,10.77,4.37,0.0,0.0,0.0
2000-09-19,89.23,10.77,4.37,0.0,0.0,0.0
2000-09-26,89.23,10.77,0.0,0.0,0.0,0.0
2000-10-03,83.07,16.93,0.0,0.0,0.0,0.0
2000-10-10,84.05,15.95,0.0,0.0,0.0,0.0
2000-10-17,84.92,15.08,0.0,0.0,0.0,0.0
2000-10-24,42.0,58.0,8.87,0.0,0.0,0.0
2000-10-31,44.9,55.1,8.62,0.0,0.0,0.0
2000-11-07,56.47,43.53,8.62,0.0,0.0,0.0
2000-11-14,74.43,25.57,8.31,0.0,0.0,0.0
2000-11-21,77.97,22.03,6.72,0.0,0.0,0.0
2000-11-28,79.25,20.75,6.72,0.0,0.0,0.0
2000-12-05,79.25,20.75,6.72,0.0,0.0,0.0
2000-12-12,79.25,20.75,6.72,0.0,0.0,0.0
2000-12-19,79.25,20.75,4.16,0.0,0.0,0.0
2000-12-26,84.68,15.32,0.0,0.0,0.0,0.0
2001-01-02,91.34,8.66,0.0,0.0,0.0,0.0
2001-01-09,91.34,8.66,0.0,0.0,0.0,0.0
2001-01-16,91.34,8.66,0.0,0.0,0.0,0.0
2001-01-23,91.34,8.66,0.0,0.0,0.0,0.0
2001-01-30,91.34,8.66,0.0,0.0,0.0,0.0
2001-02-06,91.34,8.66,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,99.93,0.07,0.0,0.0,0.0,0.0
2001-04-03,96.33,3.67,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,94.15,5.85,0.0,0.0,0.0,0.0
2001-05-15,94.16,5.84,1.36,0.0,0.0,0.0
2001-05-22,98.76,1.24,0.0,0.0,0.0,0.0
2001-05-29,99.98,0.02,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-17,58.56,41.44,0.0,0.0,0.0,0.0
2001-07-24,36.1,63.9,0.0,0.0,0.0,0.0
2001-07-31,28.62,71.38,11.15,0.0,0.0,0.0
2001-08-07,31.2,68.8,14.65,0.0,0.0,0.0
2001-08-14,33.67,66.33,27.29,7.74,0.0,0.0
2001-08-21,54.56,45.44,21.01,5.55,0.0,0.0
2001-08-28,62.77,37.23,13.31,0.0,0.0,0.0
2001-09-04,39.63,60.37,13.23,0.0,0.0,0.0
2001-09-11,60.12,39.88,15.91,0.0,0.0,0.0
2001-09-18,60.12,39.88,15.91,0.0,0.0,0.0
2001-09-25,73.81,26.19,0.0,0.0,0.0,0.0
2001-10-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-09,94.96,5.04,0.0,0.0,0.0,0.0
2001-10-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-10-30,97.94,2.06,0.0,0.0,0.0,0.0
2001-11-06,97.94,2.06,0.0,0.0,0.0,0.0
2001-11-13,97.83,2.17,0.0,0.0,0.0,0.0
2001-11-20,97.83,2.17,0.0,0.0,0.0,0.0
2001-11-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-04,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-11,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-18,100.0,0.0,0.0,0.0,0.0,0.0
2001-12-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-08,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-15,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-22,100.0,0.0,0.0,0.0,0.0,0.0
2002-01-29,100.0,0.0,0.0,0.0,0.0,0.0
2002-02-05,95.81,4.19,0.0,0.0,0.0,0.0
2002-02-12,93.12,6.88,0.0,0.0,0.0,0.0
2002-02-19,92.93,7.07,0.0,0.0,0.0,0.0
2002-02-26,93.46,6.54,0.0,0.0,0.0,0.0
2002-03-05,93.58,6.42,0.0,0.0,0.0,0.0
2002-03-12,94.83,5.17,0.0,0.0,0.0,0.0
2002-03-19,94.54,5.46,0.0,0.0,0.0,0.0
2002-03-26,94.4,5.6,0.0,0.0,0.0,0.0
2002-04-02,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-09,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-16,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-23,100.0,0.0,0.0,0.0,0.0,0.0
2002-04-30,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-07,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-14,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-21,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-28,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-04,90.98,9.02,0.0,0.0,0.0,0.0
2002-06-11,93.14,6.86,0.0,0.0,0.0,0.0
2002-06-18,94.42,5.58,0.0,0.0,0.0,0.0
2002-06-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-02,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-09,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-16,73.13,26.87,0.0,0.0,0.0,0.0
2002-07-23,66.13,33.87,14.06,0.0,0.0,0.0
2002-07-30,51.04,48.96,12.06,0.0,0.0,0.0
2002-08-06,52.38,47.62,3.87,0.0,0.0,0.0
2002-08-13,51.75,48.25,7.42,0.0,0.0,0.0
2002-08-20,82.98,17.02,0.0,0.0,0.0,0.0
2002-08-27,95.05,4.95,0.0,0.0,0.0,0.0
2002-09-03,93.02,6.98,1.13,0.0,0.0,0.0
2002-09-10,76.22,23.78,6.53,0.0,0.0,0.0
2002-09-17,64.31,35.69,9.85,0.0,0.0,0.0
2002-09-24,53.96,46.04,12.13,0.0,0.0,0.0
2002-10-01,45.63,54.37,38.18,0.0,0.0,0.0
2002-10-08,46.1,53.9,31.96,0.0,0.0,0.0
2002-10-15,46.13,53.87,33.32,0.0,0.0,0.0
2002-10-22,46.14,53.86,36.29,0.0,0.0,0.0
2002-10-29,46.3,53.7,36.32,0.0,0.0,0.0
2002-11-05,46.1,53.9,44.13,0.0,0.0,0.0
2002-11-12,46.37,53.63,41.38,0.0,0.0,0.0
2002-11-19,46.43,53.57,42.91,0.0,0.0,0.0
2002-11-26,45.81,54.19,42.72,0.0,0.0,0.0
2002-12-03,46.11,53.89,42.47,0.0,0.0,0.0
2002-12-10,36.08,63.92,42.89,0.0,0.0,0.0
2002-12-17,35.88,64.12,45.79,5.34,0.0,0.0
2002-12-24,35.69,64.31,46.16,5.77,0.0,0.0
2002-12-31,24.94,75.06,45.25,4.91,0.0,0.0
2003-01-07,4.03,95.97,62.79,15.91,0.0,0.0
2003-01-14,4.17,95.83,65.83,16.02,0.0,0.0
2003-01-21,0.02,99.98,65.64,25.42,0.0,0.0
2003-01-28,0.0,100.0,62.82,26.63,0.0,0.0
2003-02-04,0.0,100.0,58.6,26.33,0.0,0.0
2003-02-11,0.0,100.0,58.57,25.59,0.0,0.0
2003-02-18,0.0,100.0,59.5,25.68,0.0,0.0
2003-02-25,0.0,100.0,61.21,38.76,0.0,0.0
2003-03-04,0.01,99.99,61.39,40.05,0.0,0.0
2003-03-11,0.0,100.0,68.33,40.42,0.0,0.0
2003-03-18,0.0,100.0,99.64,39.32,0.0,0.0
2003-03-25,0.0,100.0,94.78,40.87,0.0,0.0
2003-04-01,20.37,79.63,64.01,30.69,0.0,0.0
2003-04-08,25.49,74.51,55.01,2.66,0.0,0.0
2003-04-15,25.49,74.51,55.99,2.25,0.0,0.0
2003-04-22,31.73,68.27,46.96,4.71,0.0,0.0
2003-04-29,31.72,68.28,55.11,11.01,0.0,0.0
2003-05-06,32.28,67.72,29.23,5.55,0.0,0.0
2003-05-13,84.07,15.93,5.74,0.67,0.0,0.0
2003-05-20,83.92,16.08,5.64,0.73,0.0,0.0
2003-05-27,93.1,6.9,5.82,0.67,0.0,0.0
2003-06-03,92.91,7.09,5.98,0.0,0.0,0.0
2003-06-10,93.21,6.79,5.71,0.0,0.0,0.0
2003-06-17,88.31,11.69,5.66,0.0,0.0,0.0
2003-06-24,41.7,58.3,6.57,0.61,0.0,0.0
2003-07-01,44.03,55.97,2.58,0.0,0.0,0.0
2003-07-08,48.73,51.27,0.0,0.0,0.0,0.0
2003-07-15,57.78,42.22,0.0,0.0,0.0,0.0
2003-07-22,59.55,40.45,0.0,0.0,0.0,0.0
2003-07-29,57.97,42.03,0.0,0.0,0.0,0.0
2003-08-05,89.09,10.91,0.0,0.0,0.0,0.0
2003-08-12,89.21,10.79,0.0,0.0,0.0,0.0
2003-08-19,49.09,50.91,0.0,0.0,0.0,0.0
2003-08-26,38.34,61.66,1.25,0.0,0.0,0.0
2003-09-02,38.94,61.06,3.25,0.0,0.0,0.0
2003-09-09,20.06,79.94,40.5,1.07,0.0,0.0
2003-09-16,19.27,80.73,38.93,0.0,0.0,0.0
2003-09-23,14.11,85.89,52.35,0.0,0.0,0.0
2003-09-30,29.4,70.6,34.1,0.0,0.0,0.0
2003-10-07,44.07,55.93,12.24,0.0,0.0,0.0
2003-10-14,44.54,55.46,9.67,0.79,0.0,0.0
2003-10-21,50.63,49.37,11.75,0.88,0.0,0.0
2003-10-28,45.11,54.89,16.22,0.86,0.0,0.0
2003-11-04,59.26,40.74,6.08,0.0,0.0,0.0
2003-11-11,69.56,30.44,6.08,0.0,0.0,0.0
2003-11-18,69.71,30.29,5.86,0.0,0.0,0.0
2003-11-25,73.21,26.79,2.39,0.0,0.0,0.0
2003-12-02,77.17,22.83,2.13,0.0,0.0,0.0
2003-12-09,76.27,23.73,2.91,0.0,0.0,0.0
2003-12-16,82.55,17.45,2.78,0.0,0.0,0.0
2003-12-23,82.77,17.23,2.01,0.0,0.0,0.0
2003-12-30,84.97,15.03,1.8,0.0,0.0,0.0
2004-01-06,86.17,13.83,1.19,0.0,0.0,0.0
2004-01-13,88.35,11.65,1.14,0.0,0.0,0.0
2004-01-20,87.85,12.15,2.15,0.0,0.0,0.0
2004-01-27,85.91,14.09,1.4,0.0,0.0,0.0
2004-02-03,85.91,14.09,1.34,0.0,0.0,0.0
2004-02-10,85.91,14.09,0.27,0.0,0.0,0.0
2004-02-17,85.91,14.09,0.27,0.0,0.0,0.0
2004-02-24,87.59,12.41,0.26,0.0,0.0,0.0
2004-03-02,87.52,12.48,0.26,0.0,0.0,0.0
2004-03-09,91.1,8.9,7.78,0.0,0.0,0.0
2004-03-16,91.1,8.9,7.78,0.0,0.0,0.0
2004-03-23,91.1,8.9,7.78,0.0,0.0,0.0
2004-03-30,93.62,6.38,1.91,0.0,0.0,0.0
2004-04-06,93.53,6.47,2.24,0.0,0.0,0.0
2004-04-13,73.6,26.4,4.52,0.0,0.0,0.0
2004-04-20,74.6,25.4,3.67,0.0,0.0,0.0
2004-04-27,63.52,36.48,14.58,0.0,0.0,0.0
2004-05-04,70.26,29.74,15.97,0.0,0.0,0.0
2004-05-11,82.15,17.85,5.69,0.0,0.0,0.0
2004-05-18,89.33,10.67,0.0,0.0,0.0,0.0
2004-05-25,92.48,7.52,0.0,0.0,0.0,0.0
2004-06-01,99.78,0.22,0.0,0.0,0.0,0.0
2004-06-08,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-15,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-22,100.0,0.0,0.0,0.0,0.0,0.0
2004-06-29,99.78,0.22,0.0,0.0,0.0,0.0
2004-07-06,93.63,6.37,0.0,0.0,0.0,0.0
2004-07-13,95.51,4.49,0.0,0.0,0.0,0.0
2004-07-20,95.5,4.5,0.0,0.0,0.0,0.0
2004-07-27,93.64,6.36,0.0,0.0,0.0,0.0
2004-08-03,95.14,4.86,0.0,0.0,0.0,0.0
2004-08-10,88.36,11.64,0.0,0.0,0.0,0.0
2004-08-17,88.07,11.93,0.0,0.0,0.0,0.0
2004-08-24,73.62,26.38,0.0,0.0,0.0,0.0
2004-08-31,85.15,14.85,0.0,0.0,0.0,0.0
2004-09-07,92.71,7.29,0.0,0.0,0.0,0.0
2004-09-14,90.93,9.07,0.0,0.0,0.0,0.0
2004-09-21,91.37,8.63,0.0,0.0,0.0,0.0
2004-09-28,24.84,75.16,3.72,0.0,0.0,0.0
2004-10-05,24.84,75.16,27.14,0.0,0.0,0.0
2004-10-12,20.53,79.47,36.13,0.0,0.0,0.0
2004-10-19,35.85,64.15,24.06,0.0,0.0,0.0
2004-10-26,47.66,52.34,19.48,0.0,0.0,0.0
2004-11-02,53.75,46.25,7.81,0.0,0.0,0.0
2004-11-09,58.42,41.58,7.81,0.0,0.0,0.0
2004-11-16,58.42,41.58,8.06,0.0,0.0,0.0
2004-11-23,62.41,37.59,8.06,0.0,0.0,0.0
2004-11-30,86.93,13.07,0.0,0.0,0.0,0.0
2004-12-07,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-14,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-21,100.0,0.0,0.0,0.0,0.0,0.0
2004-12-28,99.9,0.1,0.0,0.0,0.0,0.0
2005-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2005-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2005-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2005-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2005-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-08,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-15,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-22,100.0,0.0,0.0,0.0,0.0,0.0
2005-03-29,100.0,0.0,0.0,0.0,0.0,0.0
2005-04-05,100.0,0.0,0.0,0.0,0.0,0.0
2005-04-12,76.01,23.99,0.0,0.0,0.0,0.0
2005-04-19,15.45,84.55,0.0,0.0,0.0,0.0
2005-04-26,36.18,63.82,0.0,0.0,0.0,0.0
2005-05-03,32.35,67.65,0.0,0.0,0.0,0.0
2005-05-10,10.74,89.26,9.02,0.0,0.0,0.0
2005-05-17,23.2,76.8,1.69,0.0,0.0,0.0
2005-05-24,17.86,82.14,5.59,0.0,0.0,0.0
2005-05-31,9.99,90.01,5.69,0.0,0.0,0.0
2005-06-07,9.78,90.22,25.34,0.0,0.0,0.0
2005-06-14,19.05,80.95,31.32,0.0,0.0,0.0
2005-06-21,33.71,66.29,19.63,0.0,0.0,0.0
2005-06-28,29.69,70.31,28.85,0.02,0.0,0.0
2005-07-05,32.86,67.14,21.47,5.6,0.0,0.0
2005-07-12,21.28,78.72,44.08,8.06,0.0,0.0
2005-07-19,15.35,84.65,57.02,31.17,0.35,0.0
2005-07-26,19.84,80.16,51.49,27.64,0.35,0.0
2005-08-02,19.22,80.78,56.15,23.07,0.35,0.0
2005-08-09,23.8,76.2,53.8,25.39,0.35,0.0
2005-08-16,30.67,69.33,49.54,20.42,0.0,0.0
2005-08-23,41.55,58.45,39.12,9.39,0.0,0.0
2005-08-30,24.1,75.9,39.12,8.04,0.0,0.0
2005-09-06,8.91,91.09,56.35,22.17,0.37,0.0
2005-09-13,7.93,92.07,67.25,33.03,0.37,0.0
2005-09-20,0.01,99.99,69.49,31.02,0.14,0.0
2005-09-27,10.0,90.0,57.62,28.02,0.0,0.0
2005-10-04,10.93,89.07,49.26,12.63,0.0,0.0
2005-10-11,13.05,86.95,22.03,2.79,0.0,0.0
2005-10-18,15.07,84.93,21.08,4.95,0.01,0.0
2005-10-25,14.9,85.1,24.78,6.6,0.01,0.0
2005-11-01,9.29,90.71,27.85,6.6,0.01,0.0
2005-11-08,9.29,90.71,22.68,4.93,0.0,0.0
2005-11-15,40.95,59.05,16.97,4.19,0.0,0.0
2005-11-22,43.54,56.46,15.78,4.19,0.0,0.0
2005-11-29,51.86,48.14,14.18,2.57,0.0,0.0
2005-12-06,51.86,48.14,14.18,2.57,0.0,0.0
2005-12-13,56.43,43.57,10.43,2.57,0.0,0.0
2005-12-20,56.43,43.57,10.43,2.57,0.0,0.0
2005-12-27,56.43,43.57,10.43,2.57,0.0,0.0
2006-01-03,69.77,30.23,4.46,0.24,0.0,0.0
2006-01-10,74.1,25.9,5.64,0.38,0.0,0.0
2006-01-17,74.4,25.6,6.05,0.38,0.0,0.0
2006-01-24,74.4,25.6,6.05,0.38,0.0,0.0
2006-01-31,88.61,11.39,4.91,0.31,0.0,0.0
2006-02-07,88.61,11.39,4.91,0.31,0.0,0.0
2006-02-14,88.61,11.39,4.91,0.31,0.0,0.0
2006-02-21,95.03,4.97,1.15,0.0,0.0,0.0
2006-02-28,95.01,4.99,0.95,0.0,0.0,0.0
2006-03-07,94.28,5.72,1.44,0.0,0.0,0.0
2006-03-14,98.13,1.87,0.04,0.0,0.0,0.0
2006-03-21,98.13,1.87,0.04,0.0,0.0,0.0
2006-03-28,98.18,1.82,0.04,0.0,0.0,0.0
2006-04-04,97.33,2.67,0.0,0.0,0.0,0.0
2006-04-11,97.33,2.67,0.0,0.0,0.0,0.0
2006-04-18,81.62,18.38,0.0,0.0,0.0,0.0
2006-04-25,77.27,22.73,0.0,0.0,0.0,0.0
2006-05-02,70.36,29.64,10.36,0.0,0.0,0.0
2006-05-09,63.89,36.11,19.36,0.0,0.0,0.0
2006-05-16,88.74,11.26,0.0,0.0,0.0,0.0
2006-05-23,90.06,9.94,0.0,0.0,0.0,0.0
2006-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2006-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2006-06-13,87.87,12.13,0.0,0.0,0.0,0.0
