Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,98.99,1.01,0.0,0.0,0.0,0.0
2000-01-11,50.28,49.72,0.0,0.0,0.0,0.0
2000-01-18,49.36,50.64,0.0,0.0,0.0,0.0
2000-01-25,49.3,50.7,0.0,0.0,0.0,0.0
2000-02-01,57.9,42.1,0.0,0.0,0.0,0.0
2000-02-08,57.9,42.1,0.0,0.0,0.0,0.0
2000-02-15,56.71,43.29,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,99.93,0.07,0.0,0.0,0.0,0.0
2000-03-14,93.46,6.54,0.0,0.0,0.0,0.0
2000-03-21,90.52,9.48,0.0,0.0,0.0,0.0
2000-03-28,68.1,31.9,0.0,0.0,0.0,0.0
2000-04-04,71.18,28.82,0.0,0.0,0.0,0.0
2000-04-11,96.32,3.68,0.0,0.0,0.0,0.0
2000-04-18,84.6,15.4,0.0,0.0,0.0,0.0
2000-04-25,92.5,7.5,0.0,0.0,0.0,0.0
2000-05-02,92.5,7.5,0.0,0.0,0.0,0.0
2000-05-09,93.43,6.57,0.0,0.0,0.0,0.0
2000-05-16,93.43,6.57,0.0,0.0,0.0,0.0
2000-05-23,93.96,6.04,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,70.8,29.2,0.0,0.0,0.0,0.0
2000-11-07,72.3,27.7,0.0,0.0,0.0,0.0
2000-11-14,99.89,0.11,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,25.78,74.22,0.0,0.0,0.0,0.0
2000-12-05,23.29,76.71,0.0,0.0,0.0,0.0
2000-12-12,30.58,69.42,2.38,0.0,0.0,0.0
2000-12-19,75.07,24.93,0.0,0.0,0.0,0.0
2000-12-26,76.13,23.87,0.0,0.0,0.0,0.0
2001-01-02,76.13,23.87,0.0,0.0,0.0,0.0
2001-01-09,76.13,23.87,0.0,0.0,0.0,0.0
2001-01-16,69.21,30.79,0.0,0.0,0.0,0.0
2001-01-23,1.81,98.19,0.0,0.0,0.0,0.0
2001-01-30,16.09,83.91,0.0,0.0,0.0,0.0
2001-02-06,24.59,75.41,0.0,0.0,0.0,0.0
2001-02-13,24.58,75.42,0.0,0.0,0.0,0.0
2001-02-20,66.19,33.81,0.0,0.0,0.0,0.0
2001-02-27,58.82,41.18,0.0,0.0,0.0,0.0
2001-03-06,62.42,37.58,0.0,0.0,0.0,0.0
2001-03-13,62.42,37.58,0.0,0.0,0.0,0.0
2001-03-20,73.55,26.45,0.0,0.0,0.0,0.0
2001-03-27,12.55,87.45,0.0,0.0,0.0,0.0
2001-04-03,20.88,79.12,0.0,0.0,0.0,0.0
2001-04-10,72.88,27.12,0.0,0.0,0.0,0.0
2001-04-17,84.7,15.3,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,0.0,100.0,0.0,0.0,0.0,0.0
2001-05-15,0.0,100.0,26.03,0.0,0.0,0.0
2001-05-22,2.17,97.83,63.36,0.0,0.0,0.0
2001-05-29,17.79,82.21,59.68,0.0,0.0,0.0
2001-06-05,58.52,41.48,3.74,0.0,0.0,0.0
2001-06-12,71.7,28.3,3.74,0.0,0.0,0.0
2001-06-19,83.55,16.45,3.74,0.0,0.0,0.0
2001-06-26,83.54,16.46,0.0,0.0,0.0,0.0
2001-07-03,83.54,16.46,0.0,0.0,0.0,0.0
2001-07-10,60.05,39.95,0.0,0.0,0.0,0.0
2001-07-17,53.53,46.47,0.0,0.0,0.0,0.0
2001-07-24,38.25,61.75,0.0,0.0,0.0,0.0
2001-07-31,37.11,62.89,12.53,0.0,0.0,0.0
2001-08-07,33.84,66.16,11.95,0.0,0.0,0.0
2001-08-14,33.31,66.69,40.22,19.23,0.0,0.0
2001-08-21,32.12,67.88,49.27,30.98,0.0,0.0
2001-08-28,31.01,68.99,54.77,19.62,0.0,0.0
2001-09-04,42.14,57.86,34.9,12.41,0.0,0.0
2001-09-11,35.37,64.63,52.27,25.51,0.0,0.0
2001-09-18,35.13,64.87,52.27,25.51,0.0,0.0
2001-09-25,35.53,64.47,49.02,25.51,0.0,0.0
2001-10-02,31.52,68.48,41.57,0.0,0.0,0.0
2001-10-09,23.12,76.88,42.42,0.0,0.0,0.0
2001-10-16,22.91,77.09,42.21,0.0,0.0,0.0
2001-10-23,15.52,84.48,42.21,0.0,0.0,0.0
2001-10-30,43.03,56.97,5.68,0.0,0.0,0.0
2001-11-06,36.11,63.89,6.02,0.0,0.0,0.0
2001-11-13,12.54,87.46,6.02,0.0,0.0,0.0
2001-11-20,12.54,87.46,13.07,0.0,0.0,0.0
2001-11-27,12.53,87.47,15.14,0.0,0.0,0.0
2001-12-04,12.53,87.47,23.21,0.0,0.0,0.0
2001-12-11,14.28,85.72,5.98,0.0,0.0,0.0
2001-12-18,39.43,60.57,0.0,0.0,0.0,0.0
2001-12-25,47.88,52.12,0.0,0.0,0.0,0.0
2002-01-01,49.25,50.75,0.18,0.0,0.0,0.0
2002-01-08,49.52,50.48,0.14,0.0,0.0,0.0
2002-01-15,56.82,43.18,0.12,0.0,0.0,0.0
2002-01-22,60.25,39.75,0.24,0.0,0.0,0.0
2002-01-29,49.4,50.6,2.25,0.0,0.0,0.0
2002-02-05,60.68,39.32,0.66,0.0,0.0,0.0
2002-02-12,54.41,45.59,16.91,0.95,0.0,0.0
2002-02-19,44.76,55.24,24.06,6.5,0.0,0.0
2002-02-26,45.19,54.81,25.01,7.66,0.0,0.0
2002-03-05,43.5,56.5,25.61,8.91,0.0,0.0
2002-03-12,34.03,65.97,33.06,15.41,2.24,0.0
2002-03-19,30.7,69.3,34.58,11.84,1.71,0.0
2002-03-26,33.38,66.62,31.49,12.03,1.92,0.0
2002-04-02,58.91,41.09,21.35,7.62,0.0,0.0
2002-04-09,57.92,42.08,21.99,8.12,0.0,0.0
2002-04-16,72.1,27.9,14.38,5.15,0.0,0.0
2002-04-23,74.07,25.93,4.46,0.0,0.0,0.0
2002-04-30,97.41,2.59,0.0,0.0,0.0,0.0
2002-05-07,96.92,3.08,0.0,0.0,0.0,0.0
2002-05-14,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-21,100.0,0.0,0.0,0.0,0.0,0.0
2002-05-28,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-04,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-11,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-18,100.0,0.0,0.0,0.0,0.0,0.0
2002-06-25,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-02,100.0,0.0,0.0,0.0,0.0,0.0
2002-07-09,97.48,2.52,0.0,0.0,0.0,0.0
2002-07-16,50.77,49.23,0.0,0.0,0.0,0.0
